Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Willie Gault,Tennessee,11,1983,1993,170,141,https://www.profootballarchives.com/players/g/gaul01200.html
Steve Gaunty,Colorado;,Northern,Colorado,1,1979,1979,https://www.profootballarchives.com/players/g/gaun00200.html
Frank Gause,none,1,1929,1929,2,2,https://www.profootballarchives.com/players/g/gaus00100.html
Quentin Gause,Rutgers,1,2016,2016,3,0,https://www.profootballarchives.com/players/g/gaus00175.html
Art Gaustad,none,3,1921,1923,14,11,https://www.profootballarchives.com/players/g/gaus00200.html
Prentice Gautt,Oklahoma,8,1960,1967,89,46,https://www.profootballarchives.com/players/g/gaut00200.html
Mike Gavigan,St.,Bonaventure,1,1923,1923,2,https://www.profootballarchives.com/players/g/gavi00200.html
Chuck Gavin,Tennessee,State,4,1960,1963,47,https://www.profootballarchives.com/players/g/gavi00400.html
Pat Gavin,none,9,1920,1926,47,39,https://www.profootballarchives.com/players/g/gavi00800.html
Momcilo Gavric,Belgrade,1,1969,1969,7,0,https://www.profootballarchives.com/players/g/gavr00200.html
Ben Gay,Baylor;,Garden,City,CC,1,2001,https://www.profootballarchives.com/players/g/gay000200.html
Billy Gay,Notre,Dame,1,1951,1951,4,https://www.profootballarchives.com/players/g/gay000400.html
Blenda Gay,Fayetteville,State,3,1974,1976,30,https://www.profootballarchives.com/players/g/gay000600.html
