Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Lou Baldacci,Michigan,1,1956,1956,12,1,https://www.profootballarchives.com/players/b/bald00200.html
Mike Baldassin,Washington,2,1977,1978,30,0,https://www.profootballarchives.com/players/b/bald00400.html
Brian Baldinger,Nassau,CC;,Duke,11,1982,1993,https://www.profootballarchives.com/players/b/bald00600.html
Gary Baldinger,Wake,Forest,7,1986,1992,44,https://www.profootballarchives.com/players/b/bald00800.html
Rich Baldinger,Wake,Forest,13,1982,1993,157,https://www.profootballarchives.com/players/b/bald01000.html
Karl Baldischwiler,Oklahoma,8,1978,1986,118,100,https://www.profootballarchives.com/players/b/bald01200.html
Daniel Baldridge,Marshall,2,2010,2012,2,0,https://www.profootballarchives.com/players/b/bald01320.html
Alex Balducci,Oregon,1,2016,2016,2,0,https://www.profootballarchives.com/players/b/bald01340.html
Al Baldwin,Arkansas,4,1947,1950,52,48,https://www.profootballarchives.com/players/b/bald01400.html
Bob Baldwin,Clemson,1,1966,1966,9,0,https://www.profootballarchives.com/players/b/bald01600.html
Burr Baldwin,UCLA,3,1947,1949,32,19,https://www.profootballarchives.com/players/b/bald01800.html
Cliff Baldwin,none,2,1920,1921,3,1,https://www.profootballarchives.com/players/b/bald01900.html
Daylen Baldwin,Morgan,State;,Jackson,State;,Michigan,1,https://www.profootballarchives.com/players/b/bald01990.html
Don Baldwin,Purdue,1,1987,1987,8,0,https://www.profootballarchives.com/players/b/bald02000.html
Doug Baldwin,Stanford,8,2011,2018,123,90,https://www.profootballarchives.com/players/b/bald02010.html
Ervin Baldwin,Reedley,JC;,Michigan,State,1,2009,https://www.profootballarchives.com/players/b/bald02030.html
Jack Baldwin,Centenary,4,1946,1948,17,4,https://www.profootballarchives.com/players/b/bald02400.html
Joe Baldwin,Virginia,2,1925,1926,10,4,https://www.profootballarchives.com/players/b/bald02500.html
Johnny Baldwin,Alabama,A&M,1,2007,2007,3,https://www.profootballarchives.com/players/b/bald02550.html
Jon Baldwin,Pittsburgh,3,2011,2013,33,11,https://www.profootballarchives.com/players/b/bald02570.html
Keith Baldwin,Texas,A&M,6,1982,1988,63,https://www.profootballarchives.com/players/b/bald02600.html
Randy Baldwin,Holmes,CC;,Mississippi,6,1991,1996,https://www.profootballarchives.com/players/b/bald02800.html
Tom Baldwin,Wisconsin;,Thornton,JC;,Tulsa,4,1984,https://www.profootballarchives.com/players/b/bald03000.html
