Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Ozzie Newsome,Alabama,13,1978,1990,198,191,https://www.profootballarchives.com/players/n/news00800.html
Richard Newsome,Michigan,State,1,2001,2001,11,https://www.profootballarchives.com/players/n/news00850.html
Timmy Newsome,Winston-Salem,State,9,1980,1988,121,https://www.profootballarchives.com/players/n/news00900.html
Vince Newsome,Washington,10,1983,1992,141,100,https://www.profootballarchives.com/players/n/news01000.html
Kendall Newson,Middle,Tennessee,State,1,2003,2003,https://www.profootballarchives.com/players/n/news01600.html
Tony Newson,Utah,State,2,2002,2004,7,https://www.profootballarchives.com/players/n/news01800.html
Ark Newton,Florida,1,1926,1926,2,2,https://www.profootballarchives.com/players/n/newt00100.html
Bob Newton,Cerritos,JC;,Nebraska,11,1971,1981,https://www.profootballarchives.com/players/n/newt00200.html
Cam Newton,Furman,2,2005,2006,9,0,https://www.profootballarchives.com/players/n/newt00330.html
Cam Newton,Florida;,Blinn,JC;,Auburn,11,2011,https://www.profootballarchives.com/players/n/newt00340.html
Chuck Newton,Washington,2,1939,1940,13,9,https://www.profootballarchives.com/players/n/newt00400.html
Derek Newton,Hinds,CC;,Arkansas,State,7,2011,https://www.profootballarchives.com/players/n/newt00430.html
Jer'Zhan Newton,Illinois,1,2024,2024,16,11,https://www.profootballarchives.com/players/n/newt00540.html
Jim Newton,Utah,State,1,2003,2003,3,https://www.profootballarchives.com/players/n/newt00570.html
Josh Newton,Louisiana-Monroe;,Texas,Christian,1,2024,2024,https://www.profootballarchives.com/players/n/newt00585.html
Mike Newton,Buffalo,1,2010,2010,12,0,https://www.profootballarchives.com/players/n/newt00710.html
Nate Newton,Florida,A&M,14,1986,1999,198,https://www.profootballarchives.com/players/n/newt00800.html
Tim Newton,Florida,8,1985,1993,108,47,https://www.profootballarchives.com/players/n/newt01200.html
Tom Newton,San,Jose,CC;,California,6,1977,https://www.profootballarchives.com/players/n/newt01400.html
Yannick Ngakoue,Maryland,11,2016,2024,134,115,https://www.profootballarchives.com/players/n/ngak00200.html
Haloti Ngata,Oregon,13,2006,2018,180,174,https://www.profootballarchives.com/players/n/ngat00200.html
Dat Nguyen,Texas,A&M,7,1999,2005,90,https://www.profootballarchives.com/players/n/nguy00200.html
Lucas Niang,Texas,Christian,3,2021,2023,33,https://www.profootballarchives.com/players/n/nian00200.html
Armand Niccolai,Duquesne,9,1934,1942,98,60,https://www.profootballarchives.com/players/n/nicc00200.html
Al Nichelini,St.,Mary's,(California),2,1935,1936,https://www.profootballarchives.com/players/n/nich00200.html
Calvin Nicholas,Grambling,State,1,1988,1988,6,https://www.profootballarchives.com/players/n/nich00400.html
Stephen Nicholas,South,Florida,7,2007,2013,101,https://www.profootballarchives.com/players/n/nich00550.html
Bob Nicholes,Oglethorpe,1,1926,1926,1,0,https://www.profootballarchives.com/players/n/nich00600.html
Al Nichols,Temple,1,1945,1945,2,1,https://www.profootballarchives.com/players/n/nich00800.html
Bilal Nichols,Delaware,7,2018,2024,100,90,https://www.profootballarchives.com/players/n/nich00975.html
Bob Nichols,Stanford,3,1965,1967,41,3,https://www.profootballarchives.com/players/n/nich01000.html
Bobby Nichols,Boston,University,2,1967,1968,16,https://www.profootballarchives.com/players/n/nich01200.html
Deatrick Nichols,South,Florida,1,2018,2018,2,https://www.profootballarchives.com/players/n/nich01310.html
Gerald Nichols,Florida,State,7,1987,1993,85,https://www.profootballarchives.com/players/n/nich01600.html
Ham Nichols,Rice,4,1947,1951,43,16,https://www.profootballarchives.com/players/n/nich01800.html
John Nichols,Ohio,State,1,1926,1926,13,https://www.profootballarchives.com/players/n/nich02000.html
Mark Nichols,Golden,West,JC;,Colorado,State,1,https://www.profootballarchives.com/players/n/nich02200.html
Mark Nichols,Bakersfield,CC;,San,Jose,State,6,https://www.profootballarchives.com/players/n/nich02400.html
Mike Nichols,Arkansas-Pine,Bluff,2,1960,1961,28,https://www.profootballarchives.com/players/n/nich02600.html
Ralph Nichols,Kansas,State,1,1926,1926,9,https://www.profootballarchives.com/players/n/nich02800.html
Rayshad Nichols,Stephen,F.,Austin,State,1,2022,https://www.profootballarchives.com/players/n/nich02820.html
Ricky Nichols,East,Carolina,1,1985,1985,3,https://www.profootballarchives.com/players/n/nich03000.html
